contract,open_interest
"COAL (API 2) CIF ARA - NEW YORK MERCANTILE EXCHANGE(CONTRACTS OF 1,000 METRIC TONS)",18573
MID-C DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV(Contracts of 400 MWh),32730
MID-C DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV(1 MWh for about 368 Hours),28768
PJM WESTERN HUB RT OFF - ICE FUTURES ENERGY DIV(Contracts of 1Megawatt for 368 Hours),168202
SP15 FIN DA PEAK FIXED - ICE FUTURES ENERGY DIV(Contracts of 400 Megawatt Hours),60161
CAISO SP-15 DA OFF-PK FIXED - ICE FUTURES ENERGY DIV(1 MW per Hour for about 386 Hours),38453
PJM AEP DAYTON RT OFF-PK FIXED - ICE FUTURES ENERGY DIV(1 MW per Hour for about 386 Hours),47627
PJM AEP DAYTON RT PEAK FIXED - ICE FUTURES ENERGY DIV800MWh,60035
PJM AEP DAYTON HUB DA OFF-PK- ICE FUTURES ENERGY DIV1 MW,66808
PJM AEP DAYTON DA PEAK - ICE FUTURES ENERGY DIV1 MW,83707
MISO INDIANAOFF-PEAK - ICE FUTURES ENERGY DIV1 MW,27486
MISO IN. REAL-TIME OFF-PEAK - ICE FUTURES ENERGY DIV(1 MW for about 368 Hours),31048
ERCOT HOUSTON 345KV RT PK FIX - ICE FUTURES ENERGY DIV1 Mwh per Peak Hour,29842
ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV1 Mw per Peak Hour,127210
ERCOT SOUTH 345 KV RT PEAK FIX - ICE FUTURES ENERGY DIV1 Mwh per Peak Hour,24963
ERCOT-SOUTH MONTHLY OFFPEAK - ICE FUTURES ENERGY DIV1 MW,21901
ERCOT WEST 345KV RT PEAK - ICE FUTURES ENERGY DIV1 Mwh per peak hour,40641
ERCOT WEST 345K RT OFF-PEAK - ICE FUTURES ENERGY DIV1 MWh per Off-Peak Hour,36051
ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV1 Mwh per Off-Peak Hour,70972
MISO IN. DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV1 MW,34222
MISO INDIANA HUB RT PEAK - ICE FUTURES ENERGY DIV800 Mwh,40847
PJM N. IL HUB DA OFF-PK- ICE FUTURES ENERGY DIV1 MW,46585
PJM N. IL HUB DA PEAK - ICE FUTURES ENERGY DIV1 MW,51361
ISO NE MASS HUB DA OFF-PK FIXD - ICE FUTURES ENERGY DIV(1 MW per Hour for about 368 Hours),84262
ISO NE MASS HUB DA PEAK - ICE FUTURES ENERGY DIV800MWh,107655
CAISO NP-15 PEAK - ICE FUTURES ENERGY DIV400MWh,61770
CAISO NP-15 DA OFF-PK FIXED - ICE FUTURES ENERGY DIV(1 MW per Hour for about 386 Hours),48711
PJM NI HUB RT OFF-PK FIXED - ICE FUTURES ENERGY DIV(1 MW per Hour for about 386 Hours),41966
PJM N. IL HUB RT PEAK - ICE FUTURES ENERGY DIV800 MWh,48509
NYISO ZONE J DA PEAK - ICE FUTURES ENERGY DIV800MWh,14576
NYISO ZONE J DA OFF-PK FIXED - ICE FUTURES ENERGY DIV(1 MW for about 368 Hours),13687
NYISO ZONE A DA PEAK - ICE FUTURES ENERGY DIV800MWh,25011
NYISO ZONE A DA OFF-PK FIX PR - ICE FUTURES ENERGY DIV(1MW for about 368 Hours),16393
NYISO ZONE G DA PEAK - ICE FUTURES ENERGY DIV800MWh,36691
NYISO ZONE G DA OFF-PK - ICE FUTURES ENERGY DIV(1MW for about 368 Hours),21512
PALO VERDE DA PEAK - ICE FUTURES ENERGY DIV400MWh,15232
PALO VERDE DA OFF-PK FiXED PR - ICE FUTURES ENERGY DIV(1 MW for about 368 Hours),18513
PJM PECO ZONE DA PEAK - ICE FUTURES ENERGY DIV1 MW,15867
PJM PECO ZONE OFF-PEAK MONTHLY - ICE FUTURES ENERGY DIV1 MW,8331
"PJM PPL ZONE DAY AHEAD, OFF-PEAK MONTHLY - ICE FUTURES ENERGY DIV1 MW",46214
PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV1 MW,49184
PJM WESTERN HUB DA OFF-PK - ICE FUTURES ENERGY DIV1 MW,100241
PJM WESTERN HUB DA PEAK - ICE FUTURES ENERGY DIV352 MWh,116072
PJM WESTERN HUB RT PEAK MINI - ICE FUTURES ENERGY DIV1 MW,402863
PJM PSEG ZONE DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV1 MW,11335
ERCOT N 345KV REAL T PK DALY M - ICE FUTURES ENERGY DIV16 MWh,7660
ERCOT N 345KV REAL T PK 2x16 - ICE FUTURES ENERGY DIV(1MW for about 352 Hours),33324
ERCOT North 345KV Hub RT 7x8 - ICE FUTURES ENERGY DIV(1MW for about 352 Hours),34537
ISONE..H.INTERNAL_HUB_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),84876
ISONE..H.INTERNAL_HUB_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),67589
MISO.INDIANA.HUB_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),24860
MISO.INDIANA.HUB_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),22850
NYISO.HUD VL_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),37048
NYISO.HUD VL_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),26425
NYISO.WEST_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),21361
PJM.AEP-DAYTON HUB_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),98152
PJM.AEP-DAYTON HUB_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),97756
PJM.BGE_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),26085
PJM.BGE_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),25985
PJM.N ILLINOIS HUB_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),50417
PJM.N ILLINOIS HUB_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),56096
PJM.PECO_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),52215
PJM.PECO_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),48640
PJM.PPL_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),76420
PJM.PPL_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),73250
PJM.PSEG_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),57444
PJM.PSEG_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),50044
PJM.WESTERN HUB_month_on_dap - NODAL EXCHANGEMegawatt Hours (MWh),214925
PJM.WESTERN HUB_month_off_dap - NODAL EXCHANGEMegawatt Hours (MWh),201267
PJM.AEP-DAYTON HUB_month_on_rtp - NODAL EXCHANGEMegawatt Hours (MWh),49121
PJM.AEP-DAYTON HUB_month_off_rtp - NODAL EXCHANGEMegawatt Hours (MWh),45140
PJM.N ILLINOIS HUB_month_on_rtp - NODAL EXCHANGEMegawatt Hours (MWh),47061
PJM.N ILLINOIS HUB_month_off_rtp - NODAL EXCHANGEMegawatt Hours (MWh),47335
PJM.WESTERN HUB_month_on_rtp - NODAL EXCHANGEMegawatt Hours (MWh),212273
PJM.WESTERN HUB_month_off_rtp - NODAL EXCHANGEMegawatt Hours (MWh),189142
